"","year","month","day","gram","counts"
"1",2020,4,1,"covid 19",134128
"2",2020,4,1,"coronavirus pandemic",9566
"3",2020,4,1,"coronavirus covid19",9232
"4",2020,4,1,"covid19 coronavirus",6970
"5",2020,4,1,"stay home",5271
"6",2020,4,1,"19 pandemic",5262
"7",2020,4,1,"coronavirus outbreak",4891
"8",2020,4,1,"coronavirus crisis",4767
"9",2020,4,1,"coronavirus cases",4603
"10",2020,4,1,"via youtube",4434
"11",2020,4,1,"april fools",4380
"12",2020,4,1,"new york",4368
"13",2020,4,1,"covidー19 coronavirus",4242
"14",2020,4,1,"social distancing",4158
"15",2020,4,1,"due coronavirus",4156
"16",2020,4,1,"amid coronavirus",3877
"17",2020,4,1,"coronavirus covid",3316
"18",2020,4,1,"fight coronavirus",3129
"19",2020,4,1,"death toll",3072
"20",2020,4,1,"rel nofollow",3012
"21",2020,4,1,"href rel",3012
"22",2020,4,1,"coronavirus via",2997
"23",2020,4,1,"coronavirus covidー19",2960
"24",2020,4,1,"true href",2950
"25",2020,4,1,"100 000",2863
"26",2020,4,1,"coronavirus lockdown",2821
"27",2020,4,1,"white house",2767
"28",2020,4,1,"19 cases",2729
"29",2020,4,1,"coronavirus response",2661
"30",2020,4,1,"19 crisis",2615
"31",2020,4,1,"nofollow twitter",2578
"32",2020,4,1,"tested positive",2516
"33",2020,4,1,"gt gt",2459
"34",2020,4,1,"new cases",2451
"35",2020,4,1,"covidー19 covid19",2403
"36",2020,4,1,"stay safe",2360
"37",2020,4,1,"coronavirus deaths",2350
"38",2020,4,1,"gon na",2289
"39",2020,4,1,"covid19 pandemic",2285
"40",2020,4,1,"due covid",2247
"41",2020,4,1,"positive coronavirus",2224
"42",2020,4,1,"donald trump",2174
"43",2020,4,1,"crisis coronavirus",2081
"44",2020,4,1,"19 outbreak",2056
"45",2020,4,1,"corona virus",2028
"46",2020,4,1,"spread coronavirus",2015
"47",2020,4,1,"sign petition",2001
"48",2020,4,1,"news coronavirus",1991
"49",2020,4,1,"confirmed cases",1909
"50",2020,4,1,"fake news",1908
"51",2020,4,2,"covid 19",136656
"52",2020,4,2,"coronavirus pandemic",9487
"53",2020,4,2,"coronavirus covid19",8925
"54",2020,4,2,"covid19 coronavirus",5818
"55",2020,4,2,"19 pandemic",5245
"56",2020,4,2,"stay home",4996
"57",2020,4,2,"coronavirus outbreak",4726
"58",2020,4,2,"coronavirus cases",4715
"59",2020,4,2,"coronavirus crisis",4647
"60",2020,4,2,"new york",4368
"61",2020,4,2,"via youtube",4004
"62",2020,4,2,"due coronavirus",3606
"63",2020,4,2,"social distancing",3437
"64",2020,4,2,"amid coronavirus",3394
"65",2020,4,2,"coronavirus covid",3192
"66",2020,4,2,"19 cases",2946
"67",2020,4,2,"href rel",2903
"68",2020,4,2,"rel nofollow",2903
"69",2020,4,2,"true href",2850
"70",2020,4,2,"coronavirus via",2822
"71",2020,4,2,"19 crisis",2804
"72",2020,4,2,"death toll",2791
"73",2020,4,2,"19 optimiscegahcovid19",2715
"74",2020,4,2,"coronavirus response",2664
"75",2020,4,2,"coronavirus lockdown",2656
"76",2020,4,2,"fight coronavirus",2613
"77",2020,4,2,"white house",2583
"78",2020,4,2,"covid19 pandemic",2517
"79",2020,4,2,"new cases",2498
"80",2020,4,2,"nofollow twitter",2457
"81",2020,4,2,"covidー19 coronavirus",2454
"82",2020,4,2,"crisis coronavirus",2316
"83",2020,4,2,"tested positive",2312
"84",2020,4,2,"spread coronavirus",2288
"85",2020,4,2,"stay safe",2120
"86",2020,4,2,"19 outbreak",2106
"87",2020,4,2,"coronavirus covidー19",2091
"88",2020,4,2,"gon na",2078
"89",2020,4,2,"confirmed cases",2015
"90",2020,4,2,"public health",2011
"91",2020,4,2,"du coronavirus",1959
"92",2020,4,2,"positive coronavirus",1956
"93",2020,4,2,"10 000",1949
"94",2020,4,2,"coronavirus patients",1912
"95",2020,4,2,"due covid",1856
"96",2020,4,2,"100 000",1843
"97",2020,4,2,"coronavirus deaths",1837
"98",2020,4,2,"health care",1801
"99",2020,4,2,"news coronavirus",1766
"100",2020,4,2,"donald trump",1764
"101",2020,4,2,"corona virus",1741
"102",2020,4,3,"covid 19",139627
"103",2020,4,3,"coronavirus pandemic",9220
"104",2020,4,3,"coronavirus covid19",8748
"105",2020,4,3,"covid19 coronavirus",7284
"106",2020,4,3,"19 pandemic",5560
"107",2020,4,3,"stay home",5430
